name_ar,name_he,name,category_id,place_type,opening_hours,lat,lon,skip_reason
مدرسة عمر بن الخطاب,בית ספר עומר אבן אלחטאב,Omar Ibn Al-Khattab School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.393274,34.749333,
مدرسة عمال التكنولوجية,בית ספר עמל טכנולוגי,Amal Technological School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.400447,34.757030,
مدرسة الهدى,בית ספר אלהודא,Al-Huda School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.399975,34.749564,
موقف سيارات,חניון,Parking Lot,19,PUBLIC_SERVICE,,31.390824,34.767377,invalid_type
المركز الجماهيري رهط,מתנ״ס רהט,Rahat Community Center,13,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM",31.396829,34.756539,
مدرسة بيت الحكمة,בית ספר בית אל חכמה,Beit Al-Hikma School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.393933,34.765509,
مقبرة موقف للسيارات,חניון בית העלמין,Cemetery Parking,19,PUBLIC_SERVICE,,31.388282,34.724163,invalid_type
المركز التجاري رهط,המרכז המסחרי רהט,Rahat Commercial Center,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.394647,34.758378,
يش,יש,Yesh Supermarket,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.396331,34.757730,duplicate_nearby
مسجد الإحسان,מסגד אלאחסאן,Al-Ihsan Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.393636,34.763124,
مسجد هلال,מסגד הילאל,Hilal Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.400005,34.763326,
محطة الشرطة,תחנת משטרה,Police Station,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.403157,34.755368,
محطة الاطفاء,תחנת כיבוי אש,Fire Station,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.402812,34.755331,
قطرة حليب,טיפת חלב,Tipat Halav,8,PUBLIC_SERVICE,"Sunday: 7:30 AM - 4:00 PM, Monday: 7:30 AM - 4:00 PM, Tuesday: 7:30 AM - 4:00 PM, Wednesday: 7:30 AM - 4:00 PM, Thursday: 7:30 AM - 4:00 PM",31.393772,34.769256,
مستشفى كلاليت رهط,מרפאת כללית רהט,Clalit Rahat Clinic,15,PUBLIC_SERVICE,"Sunday: 8:00 AM - 4:00 PM, Monday: 8:00 AM - 4:00 PM, Tuesday: 8:00 AM - 4:00 PM, Wednesday: 8:00 AM - 4:00 PM, Thursday: 8:00 AM - 4:00 PM",31.396981,34.757440,
موقف سيارات,חניון,Parking Lot,19,PUBLIC_SERVICE,,31.400008,34.763058,invalid_type
مصف الشرطة,חניון המשטרה,Police Parking,19,PUBLIC_SERVICE,,31.403475,34.755164,invalid_type
موقف سيارات,חניון,Parking Lot,19,PUBLIC_SERVICE,,31.392764,34.769112,invalid_type
موقف سيارات,חניון,Parking Lot,19,PUBLIC_SERVICE,,31.399092,34.762144,invalid_type
مسجد التقوى,מסגד אלתקווא,Al-Taqwa Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.391480,34.747820,
دوار النور,כיכר אל נור,Al-Noor Circle,10,PUBLIC_SERVICE,"Sunday: 6:00 AM - 10:00 PM, Monday: 6:00 AM - 10:00 PM, Tuesday: 6:00 AM - 10:00 PM, Wednesday: 6:00 AM - 10:00 PM, Thursday: 6:00 AM - 10:00 PM, Friday: 6:00 AM - 10:00 PM, Saturday: 6:00 AM - 10:00 PM",31.393688,34.759588,
موقف سيارات,חניון,Parking Lot,19,PUBLIC_SERVICE,,31.393560,34.769202,invalid_type
مسجد,מסגד,Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.397058,34.770178,
مدرسة دار القلم,בית ספר דאר אלקלם,Dar Al-Qalam School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.391814,34.768254,
صودا ستريم,סודה סטרים,SodaStream,19,PUBLIC_SERVICE,,31.382337,34.787683,invalid_type
مسجد الرحمة,מסגד אלרחמה,Al-Rahma Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.387461,34.759416,
مسجد السلام,מסגד אלסלאם,Al-Salam Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.388012,34.740260,
مسجد بلال بن رباح,מסגד בלאל בן רבאח,Bilal Ibn Rabah Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.397014,34.764050,
مسجد الأنصار,מסגד אלאנסאר,Al-Ansar Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.390883,34.764372,
